kernel,size,ff
ac,1024,5053
ac,2048,5006
ac,4096,5026
ac,8192,5085
ac,16384,5254
ac,32768,435
ac,manual,4666
dfs,1024,2871
dfs,2048,2881
dfs,4096,2891
dfs,8192,2901
dfs,16384,2935
dfs,32768,2967
dfs,manual,1961
ll,1024,3927
ll,2048,3936
ll,4096,3950
ll,8192,4044
ll,16384,3979
ll,32768,4141
ll,manual,3732
msort,1024,2948
msort,2048,2951
msort,4096,2954
msort,8192,2958
msort,16384,2974
msort,32768,2973
msort,manual,2878
strassen,1024,28096
strassen,2048,14654
strassen,4096,14654
strassen,8192,14899
strassen,16384,14899
strassen,32768,15040
strassen,manual,13722
