kernel,size,lut
ac,1024,5065
ac,2048,5234
ac,4096,5439
ac,8192,5492
ac,16384,6037
ac,32768,245
ac,manual,3287
dfs,1024,2581
dfs,2048,2563
dfs,4096,2607
dfs,8192,2634
dfs,16384,2755
dfs,32768,3441
dfs,manual,1471
ll,1024,3575
ll,2048,3655
ll,4096,3682
ll,8192,3771
ll,16384,3866
ll,32768,4424
ll,manual,2993
msort,1024,2584
msort,2048,2603
msort,4096,2651
msort,8192,2751
msort,16384,2799
msort,32768,3330
msort,manual,2755
strassen,1024,27312
strassen,2048,19591
strassen,4096,19591
strassen,8192,20303
strassen,16384,20303
strassen,32768,21802
strassen,manual,21631
